query_id,description,desired_package,package_description,query_text,,,,url,time used(ms),time used(s)
79,use arduino with rosserial protocol,rosserial_arduino,rosserial for Arduino/AVR platforms.,use arduino rosserial protocol,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=use arduino rosserial protocol&section=pkgs,http://127.0.0.1:4000/search/?term=use arduino rosserial protocol&section=pkgs,182.1,0.1821
80,use razor_imu with GUI,razor_imu_9dof,"razor_imu_9dof is a package that provides a ROS driver for the Sparkfun OpenLog Artemis, 9DoF Razor IMU M0, 9DOF Razor IMU and 9DOF Sensor Stick. It also provides Arduino firmware that runs on the board, and which must be installed on it for the system to work. A node which displays the attitude (roll, pitch and yaw) of the board (or any IMU) is provided for testing.",use razor_imu GUI,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=use razor_imu GUI&section=pkgs,http://127.0.0.1:4000/search/?term=use razor_imu GUI&section=pkgs,243.2,0.2432
81,driver package for Xsens MTi imu,xsens_driver,ROS Driver for XSens MT/MTi/MTi-G devices.,Xsens MTi node driver,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Xsens MTi node driver&section=pkgs,http://127.0.0.1:4000/search/?term=Xsens MTi node driver&section=pkgs,132.8,0.1328
82,parse nmea strings and publish GPS messages,nmea_navsat_driver,Package to parse NMEA strings and publish a very simple GPS message. Does not     require or use the GPSD deamon.,"parse nmea strings,publish GPS messages",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=parse nmea strings,publish GPS messages&section=pkgs","http://127.0.0.1:4000/search/?term=parse nmea strings,publish GPS messages&section=pkgs",42.2,0.0422
83,driver for hokuyo scanning range finder,hokuyo_node,,Hokuyo Scanning range finder driver,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Hokuyo Scanning range finder driver&section=pkgs,http://127.0.0.1:4000/search/?term=Hokuyo Scanning range finder driver&section=pkgs,335,0.335
84,launch openni device,openni_launch,"Launch files to open an OpenNI device and load all nodelets to      convert raw depth/RGB/IR streams to depth images, disparity images,      and (registered) point clouds.",launch openni device,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=launch openni device&section=pkgs,http://127.0.0.1:4000/search/?term=launch openni device&section=pkgs,22.5,0.0225
85,description package for openni device,openni_description,Model files of OpenNI device.,openni device,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=openni device&section=pkgs,http://127.0.0.1:4000/search/?term=openni device&section=pkgs,356.6,0.3566
86,driver package for Kinect,openni_camera,"A ROS driver for OpenNI depth (+ RGB) cameras. These include:        Microsoft Kinect,       PrimeSense PSDK,       ASUS Xtion Pro and Pro Live    The driver publishes raw depth, RGB, and IR image streams.","driver,Kinect",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=driver,Kinect&section=pkgs","http://127.0.0.1:4000/search/?term=driver,Kinect&section=pkgs",2.1,0.0021
87,run driver for camera1394,camera1394,"ROS driver for devices supporting the IEEE 1394 Digital Camera    (IIDC) protocol. Supports the ROS image_pipeline, using libdc1394    for device access.","driver,camera1394",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=driver,camera1394&section=pkgs","http://127.0.0.1:4000/search/?term=driver,camera1394&section=pkgs",3.2,0.0032
88,plugins for transporting images,image_transport_plugins,"A set of plugins for publishing and subscribing to sensor_msgs/Image topics    in representations other than raw pixel data. For example, for viewing a    stream of images off-robot, a video codec will give much lower bandwidth    and latency. For low frame rate tranport of high-definition images, you    might prefer sending them as JPEG or PNG-compressed form.",transporting images plugins,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=transporting images plugins&section=pkgs,http://127.0.0.1:4000/search/?term=transporting images plugins&section=pkgs,304.1,0.3041
89,process stereo camera pairs,camera1394stereo,This is a modified version of the ROS driver for devices supporting the IEEE     1394 Digital Camera (IIDC) protocol in package camera1394.     It adds support for reading from stereo pairs.,process stereo camera pairs,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=process stereo camera pairs&section=pkgs,http://127.0.0.1:4000/search/?term=process stereo camera pairs&section=pkgs,286.1,0.2861
90,track moving edges with ViSP,visp_tracker,Wraps the ViSP moving edge tracker provided by the ViSP visual    servoing library into a ROS package.    This computer vision algorithm computes the pose (i.e. position    and orientation) of an object in an image. It is fast enough to    allow object online tracking using a camera.,track moving edges ViSP,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=track moving edges ViSP&section=pkgs,http://127.0.0.1:4000/search/?term=track moving edges ViSP&section=pkgs,6.7,0.0067
91,model based tracker with ViSP,visp_auto_tracker,"Online automated pattern-based object tracker relying on visual servoing.    visp_auto_tracker wraps model-based trackers provided by ViSP visual    servoing library into a ROS package. The tracked object should have a    QRcode of Flash code pattern. Based on the pattern, the object is    automaticaly detected. The detection allows then to initialise the    model-based trackers. When lost of tracking achieves a new detection    is performed that will be used to re-initialize the tracker.    This computer vision algorithm computes the pose (i.e. position and    orientation) of an object in an image. It is fast enough to allow    object online tracking using a camera.",model based tracker ViSP,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=model based tracker ViSP&section=pkgs,http://127.0.0.1:4000/search/?term=model based tracker ViSP&section=pkgs,438.4,0.4384
92,interface ViSP with ROS,visp_ros,An extension of ViSP library that interfaces ROS into usual ViSP classes and a basket of generic ros nodes based on ViSP.,interface ViSP,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=interface ViSP&section=pkgs,http://127.0.0.1:4000/search/?term=interface ViSP&section=pkgs,183.1,0.1831
93,recognize objects,object_recognition_ros,"object_recognition_core contains tools to launch several recognition pipelines, train objects, store models ...",recognize objects,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=recognize objects&section=pkgs,http://127.0.0.1:4000/search/?term=recognize objects&section=pkgs,355,0.355
94,visual-based odometry,viso2_ros,"This is the ROS wrapper for libviso2, library for visual odometry (see package libviso2).",visual-based odometry,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=visual-based odometry&section=pkgs,http://127.0.0.1:4000/search/?term=visual-based odometry&section=pkgs,75.4,0.0754
95,visual odometry,libfovis,Fast Odometry from VISion,visual odometry,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=visual odometry&section=pkgs,http://127.0.0.1:4000/search/?term=visual odometry&section=pkgs,76.9,0.0769
96,Message package for point cloud library,pcl_msgs,Package containing PCL (Point Cloud Library)-related ROS messages.,point cloud library,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=point cloud library&section=pkgs,http://127.0.0.1:4000/search/?term=point cloud library&section=pkgs,177.8,0.1778
97,record the point cloud messages,pcl_recorder,The pcl_recorder package,record the point cloud messages,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=record the point cloud messages&section=pkgs,http://127.0.0.1:4000/search/?term=record the point cloud messages&section=pkgs,490.5,0.4905
98,PCL interface for ROS,pcl_ros,PCL (Point Cloud Library) ROS interface stack. PCL-ROS is the preferred  bridge for 3D applications involving n-D Point Clouds and 3D geometry  processing in ROS.,"PCL interface ,ROS",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=PCL interface ,ROS&section=pkgs","http://127.0.0.1:4000/search/?term=PCL interface ,ROS&section=pkgs",163.1,0.1631
99,start mir-100 robot in gazebo simulator,mir_gazebo,Simulation specific launch and configuration files for the MiR100 robot.,start mir-100 robot in gazebo,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=start mir-100 robot in gazebo&section=pkgs,http://127.0.0.1:4000/search/?term=start mir-100 robot in gazebo&section=pkgs,138.9,0.1389
100,run hector_mapping algorithm for mir100 robot,mir_navigation,"Launch and configuration files for move_base, localization etc. on the MiR robot.","run mapping algorithm MiR robot,hector_mapping",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=run mapping algorithm MiR robot,hector_mapping&section=pkgs","http://127.0.0.1:4000/search/?term=run mapping algorithm MiR robot,hector_mapping&section=pkgs",177.4,0.1774
,,,,,,,,average,69.009,0.069009
,,,,,,,,standard deviation,105.1116445,0.105111645
