package_name,function
ethercat_hardware,using the EtherCAT motor controller/driver
sciurus17_moveit_config,using the sciurus17
swri_transform_util,contains utility functions
swri_route_util,provides functionality
swri_rospy,provides added functionality
swri_rospy,including a single-threaded callback queue.
swri_nodelet,provides a simple script
swri_nodelet,write simple launch files
swri_nodelet,running nodelets
swri_dbw_interface,provides documentation
swri_cli_tools,contains the rosman tool
swri_cli_tools,introspecting ROS nodes
razor_imu_9dof,is a package
razor_imu_9dof,provides a ROS driver
razor_imu_9dof,provides Arduino firmware
razor_imu_9dof,work. A node
razor_imu_9dof,"displays the attitude (roll, pitch"
razor_imu_9dof,(or any IMU)
log_view,provides a ncurses
log_view,based terminal GUI
log_view,filtering published ROS log messages.
tiago_2dnav,run navigation
naoqi_driver,publishes all sensor
naoqi_bridge_msgs,provides custom messages
naoqi_bridge_msgs,running Aldebaran's robot
sick_scan,et al.
octovis,is visualization tool
octomap,"mapping approach, providing data structures"
octomap,mapping algorithms
dynamic_edt_3d,use the OctoMap 3D representation
dynamic_edt_3d,propagate changes
linux_peripheral_interfaces,"help utilise, monitor, interact"
libsensors_monitor,using libsensors
libsensors_monitor,provide diagnostics information
laptop_battery_monitor,check battery status
moveit_config_m1509,using the m1509
moveit_config_m1013,using the m1013
moveit_config_m0617,using the m0617
moveit_config_m0609,using the m0609
moveit_config_h2515,using the h2515
moveit_config_h2017,using the h2017
moveit_config_a0912,using the a0912
moveit_config_a0509,using the a0509
laser_geometry,contains a class
laser_geometry,contains functionality
laser_geometry,moving robots
laser_geometry,tilting laser scanners.
pmb2_simulation,include plugins
pmb2_simulation,running PMB2
pmb2_controller_configuration_gazebo,configure the controllers
pmb2_2dnav_gazebo,run navigation
csm,is a ROS 3rd-party wrapper
rcdiscover,contains tools
iot_bridge,provides a bi-directional bridge
iot_bridge,allows a ROS robot
rqt_publisher,provides a GUI plugin
rqt_publisher,publishing arbitrary messages
opengm,wraps the external c++
opengm,downloads the source code
opengm,it. The library
opengm,is a header-only library
opengm,"aren't used,"
opengm,doesn't gets build.
opengm,see the Makefile.tarball
libphidgets,wraps the libphidgets
libdlib,wraps the external c++
libdlib,use it. The code
libdlib,see the Makefile.tarball
cob_extern,contains third party libraries
cob_extern,operating Care-O-bot.
hector_nist_arena_worlds,created using the hector_nist_arena_designer GUI.
hector_nist_arena_elements,contains models
hector_nist_arena_elements,"Using these elements, scenarios"
hector_nist_arena_elements,using gazebo.
hector_nist_arena_designer,is a simple GUI
hector_nist_arena_designer,involving NIST
rtt_visualization_msgs,use ROS messages
rtt_trajectory_msgs,use ROS messages
rtt_tf2_msgs,use ROS messages
rtt_tf,contains the components
rtt_stereo_msgs,stereo_msgs messages.
rtt_stereo_msgs,use ROS messages
rtt_std_srvs,std_msgs messages.
rtt_std_srvs,use ROS messages
rtt_std_msgs,std_msgs messages.
rtt_std_msgs,use ROS messages
rtt_shape_msgs,shape_msgs messages.
rtt_shape_msgs,use ROS messages
rtt_sensor_msgs,sensor_msgs messages.
rtt_sensor_msgs,use ROS messages
rtt_rosparam,provides an RTT service
rtt_rosparam,associating RTT component properties
rtt_rospack,provides an RTT plugin
rtt_rospack,use rospack
rtt_rospack,find packages
rtt_rosnode,provides an RTT plugin
rtt_rosnode,add a ROS node
rtt_rosgraph_msgs,rosgraph_msgs messages.
rtt_rosgraph_msgs,use ROS messages
rtt_rosdeployment,provides an RTT plugin
rtt_rosdeployment,control an ocl deployment component
rtt_roscomm,provides the necessary template files
rtt_roscomm,cmake macros
rtt_rosclock,provides an RTT plugin
rtt_ros_integration,contains all software
rtt_ros_integration,build systems
rtt_ros_integration,using both Orocos
rtt_ros,provides an RTT plugin
rtt_ros,add a ROS node
rtt_ros,enable roslaunching
rtt_nav_msgs,use ROS messages
rtt_kdl_conversions,contains the components
rtt_geometry_msgs,use ROS messages
rtt_diagnostic_msgs,use ROS messages
rtt_actionlib_msgs,actionlib_msgs messages.
rtt_actionlib_msgs,use ROS messages
omronsentech_camera,contains a basic functionality
omronsentech_camera,requires installation
code_coverage,run coverage
grasping_msgs,describing objects
grasping_msgs,grasp them.
octomap_rviz_plugins,displaying occupancy information
rosbash_params,writing ros-node-like bash scripts
urdf_tutorial,contains a number
rwt_moveit,provides a web user interface
openraveros_tutorials,are two ways
openraveros_tutorials,start the server.
openrave_sensors,openrave plugins
openrave_sensors,connect send
openrave_sensors,recieve ROS messages allowing OpenRAVE
openrave_robot_filter,filtering the robot
openrave_robot_control,"messages, services,"
openrave_robot_control,openrave plugin
openrave_robot_control,robot services
openrave_robot_control,using services
openrave_robot_control,given joint positions
openrave_robot_control,sends the correct tf frames
ixblue_ins_msgs,defined messages package
task_allocation,offers action servers
task_allocation,assigning tasks
target_monitor,manages information
swarm_functions,library provides simple functionalities
swarm_functions,enable swarm algorithms
swarm_functions,is part
state_exchanger,behavioral states
rfsm,contains the rFSM flavor
kinematics_exchanger,kinematic properties
coverage_path,generates an optimal path
coverage_path,given area
area_division,divides the available environment area
crane_x7_moveit_config,using the crane_x7
pr2_tilt_laser_interface,manipulating the pr2's
pr2_tilt_laser_interface,tilting laser. Simplifies
pr2_tilt_laser_interface,"fetching a single sweep,"
pr2_tilt_laser_interface,given a set
pr2_tilt_laser_interface,tilting platform.
pr2_common_actions,moving the arms
pr2_common_actions,getting data
pr2_common_actions,tilting laser.
pr2_arm_move_ik,Move the pr2 arm
pr2_arm_move_ik,using inverse kinematics
joint_trajectory_generator,generates a new smooth trajectory
roslint,packages. The lint
roslint,commands perform static checking
audibot_gazebo,simulate Audibot
warthog_msgs,representing low-level motor commands
warthog_description,robot description
roseus_smach,be moved. * Message publisher
roseus_smach,visualizing current state
roseus_smach,pickle dump script
roseus_smach,debugging state machine. * Execute state machine
visualization_msgs,is a set
trajectory_msgs,defines messages
trajectory_msgs,defining robot
stereo_msgs,"stereo processing,"
shape_msgs,contains messages
shape_msgs,"defining shapes,"
shape_msgs,"(cube, sphere, etc), planes,"
sensor_msgs,defines messages
sensor_msgs,"used sensors, including cameras"
sensor_msgs,scanning laser rangefinders.
nav_msgs,defines the common messages
geometry_msgs,provides messages
geometry_msgs,poses. These primitives
geometry_msgs,provide a common data type
diagnostic_msgs,holds the diagnostic messages
diagnostic_msgs,provide the standardized interface
common_msgs,includes messages
actionlib_msgs,defines the common messages
robot_nav_viz_demos,testing/demonstrating the robot_nav_rviz_plugins
pr2_bringup_tests,"verify devices, mechanicals"
nav_grid_server,publishing images
nav_grid,overlaying a two dimensional grid
nav_core_adapter,contains adapters
nav_core_adapter,using `nav_core` plugins
semantic_point_annotator,annotates 3D point cloud data
pr2_power_board,provides a ROS node
pr2_navigation_teleop,holds a special teleop configuration
pr2_navigation_teleop,running applications
pr2_navigation_teleop,use autonomous navigation.
pr2_navigation_slam,holds launch files
pr2_navigation_perception,holds navigation-specific sensor configuration options
pr2_navigation_local,holds xml files
pr2_navigation_global,holds XML files
pr2_navigation_config,holds common configuration files
pr2_navigation,holds common configuration options
power_monitor,collects messages
power_monitor,publishes a summary
ocean_battery_driver,is an interface
locomotor,is an extensible path planning coordination engine
locomotor,provide a mechanism
locomotor,leverages ROS callback queues
locomotor,coordinate multiple threads.
joint_qualification_controllers,testing counterbalance
global_planner_tests,checking the validity
dwb_local_planner,based local planner
dwb_local_planner,implementing the nav_core2::LocalPlanner interface.
dlux_global_planner,based global planner
dlux_global_planner,implementing the nav_core2::GlobalPlanner interface.
icart_mini,provides packages
rtt_geometry,contains tools
rtt_geometry,integrating the Orocos Kinematics
kdl_typekit,contains the KDL RTT bindings
hector_sensors_gazebo,using the sensors
hector_gazebo_worlds,provides gazebo scenarios
hector_gazebo_thermal_camera,provides a gazebo plugin
hector_gazebo_thermal_camera,produces simulated thermal camera
hector_gazebo_thermal_camera,images. The plugin
hector_gazebo_thermal_camera,uses modified code
hector_gazebo_plugins,provides gazebo plugins
hector_gazebo_plugins,"contains a 6wd differential drive plugin,"
hector_gazebo_plugins,"plugin, a GPS sensor plugin"
hector_gazebo,provides packages
hector_gazebo,"using gazebo (gazebo plugins, world"
eus_qp,is an interface
eus_qp,solve qp problems
ensenso_description,supported camera
ensenso_description,"models. The Xacro macros,"
ensenso_description,import the mesh files
arbotix_sensors,Extends the arbotix_node package
arbotix_controllers,Extends the arbotix_python package
denso_robot_ros,ros stack constains
denso_robot_ros,controlling a DENSO robot
denso_robot_moveit_config,using the DENSO robots
denso_robot_gazebo,includes a launch file
denso_robot_gazebo,simulating DENSO robot.
denso_robot_descriptions,includes URDF files
denso_robot_core_test,includes a node
denso_robot_core_test,testing denso robot core node.
denso_robot_core,includes a node
denso_robot_core,controlling DENSO robot controllers.
denso_robot_control,includes a node
denso_robot_control,controlling DENSO robot controllers
denso_robot_bringup,includes launch files
denso_robot_bringup,starting denso robot nodes.
bcap_service_test,includes a node
bcap_service_test,testing bcap service node.
bcap_service,includes a node
bcap_service,communicating ORiN
bcap_core,includes libraries
bcap_core,communicating ORiN
pmb2_description,"kinematic, visual, etc. description"
pmb2_description,robot. The files
pmb2_controller_configuration,configure the controllers
smacc_msgs,contains a set
smacc,is a ROS/C++ library
rtabmap,is a RGB-D SLAM approach
unique_identifier,resolve dry stack dependencies.
joint_state_publisher_gui,contains a GUI tool
joint_state_publisher_gui,publishing joint state values
joint_state_publisher_gui,given URDF.
joint_state_publisher,contains a tool
joint_state_publisher,publishing joint state values
joint_state_publisher,given URDF.
ipcamera_driver,publish regular IP camera video streams
flexbe_testing,flexbe_testing provides a framework
flexbe_testing,testing states.
flexbe_states,provides a collection
flexbe_states,add new states.
flexbe_onboard,implements the robot-side
flexbe_msgs,provides the messages
flexbe_mirror,mirror an executed behavior.
flexbe_input,send data
flexbe_input,onboard behavior
flexbe_core,provides the core components
xpp_states,"(positions, velocities, angular angles,"
xpp_hyq,include inverse kinematics
xpp_hyq,legged robot
xpp_examples,use the xpp framework.
xpp,"draws support areas, contact forces"
rc_genicam_api,combines the Roboception convenience layer
rc_genicam_api,is a self
rc_genicam_api,contained package
rc_genicam_api,permits configuration
rc_genicam_api,provides some tools
rc_genicam_api,"discovering cameras,"
rc_genicam_api,streaming images.
rc_genicam_api,use the API
rc_genicam_api,"setting parameters, streaming"
rc_genicam_api,synchronizing images. See LICENSE.md
rc_genicam_api,licensing terms
schunk_svh_driver,enable control
rosnode_rtc,gives transparency
rb1_dual_ur3_moveit_config,using the rb1_base
rb1_base_navigation,configures the move_base stack
rb1_base_navigation,makes use
rb1_base_navigation,move the rb1_base robot
rb1_base_common,contains rb1 base
move_base_flex,is a backwards-compatible replacement
move_base_flex,use existing plugins
move_base_flex,provides an enhanced version
move_base_flex,exposes action servers
move_base_flex,providing detailed information
move_base_flex,feedback. An external executive logic
move_base_flex,use MBF
move_base_flex,enables the use
move_base_flex,is a meta package
mbf_simple_nav,contains a simple navigation server implementation
mbf_simple_nav,(MBF). The simple navigation server
mbf_simple_nav,provides actions
mbf_simple_nav,loads all defined plugins
mbf_simple_nav,"*planners*, *controllers*"
mbf_simple_nav,holds a pair
mbf_simple_nav,load. The *name* defines
mbf_simple_nav,name the plugin
mbf_simple_nav,load the defined plugins
mbf_simple_nav,implements the defined interfaces
mbf_msgs,messages package
mbf_msgs,providing the action definition files
mbf_msgs,providing these action
mbf_costmap_nav,contains the costmap navigation server implementation
mbf_costmap_nav,(MBF). The costmap navigation server
mbf_costmap_core,provides common interfaces
mbf_costmap_core,"contains the CostmapPlanner, CostmapController"
mbf_costmap_core,interfaces. The interfaces
mbf_costmap_core,using the mbf_costmap_nav navigation implementation.
mbf_costmap_core,inherits the mbf_abstract_nav implementation
mbf_costmap_core,binds the system
mbf_abstract_nav,contains the abstract navigation server implementation
mbf_abstract_nav,(MBF). The abstract navigation server
mbf_abstract_nav,provides the actions
mbf_abstract_nav,loads all defined plugins
mbf_abstract_nav,loads all plugins
mbf_abstract_nav,"*planners*, *controllers*"
mbf_abstract_nav,holds a pair
mbf_abstract_nav,load. The *name* defines
mbf_abstract_nav,name the plugin
openrtm_ros_bridge,provides basic functionalities
openrtm_ros_bridge,bind two robotics
hrpsys_ros_bridge,provides basic functionalities
pr2_gripper_sensor_msgs,contains various actions
pr2_gripper_sensor_msgs,packages. The structure
pr2_gripper_sensor_msgs,send a goal
pr2_gripper_sensor_msgs,replaces the name
pr2_gripper_sensor_controller,is a real-time controller
pr2_gripper_sensor_controller,integrates signals
pr2_gripper_sensor_controller,responsive sensing
pr2_gripper_sensor_action,provides an action interface
pr2_gripper_sensor_action,provides several different actions
pr2_gripper_sensor_action,getting high-level sensor information
talos_description_calibration,contains the description
talos_description_calibration,robot. The files
ur_client_library,accessing Universal Robots interfaces.
mbf_abstract_core,provides common interfaces
mbf_abstract_core,"contains the AbstractPlanner, AbstractController"
mbf_abstract_core,plugin interfaces.
mbf_abstract_core,make the plugin
mbf_abstract_core,provides a meaningful interface
mbf_abstract_core,"enabling the planners, controllers"
mbf_abstract_core,"return information, e.g."
mbf_abstract_core,went wrong. Derivided
mbf_abstract_core,"interfaces can,"
mbf_abstract_core,"initialize the planner, controller"
swri_profiler_tools,viewing data
swri_profiler_tools,use the swri_profiler library
swri_profiler_tools,profiling information.
swri_profiler,provides basic tools
flexbe_app,provides a user interface (editor + runtime control)
libmodbus,package implements
libmodbus,Moving Mean 3) Gravity Compensation
ipr_extern,"workspaces. Currentlly supported Libraries: Reflexxes, Libmodbus."
dataspeed_pds_rqt,rqt GUI
ridgeback_bringup,installing Ridgeback's robot software.
robomaker_simulation_msgs,containing ROS service definitions
aws_robomaker_simulation_ros_pkgs,accessing the simulation service.
moveit_resources_dual_panda_moveit_config,using the panda
khi_rs080n_moveit_config,using the khi_rs080n
khi_rs025n_moveit_config,using the khi_rs025n
khi_rs013n_moveit_config,using the khi_rs013n
khi_rs007n_moveit_config,using the khi_rs007n
khi_rs007l_moveit_config,using the khi_rs007l
khi_robot_msgs,contains KHI ROS robot msgs
khi_robot_bringup,contains bringup scripts/config/tools
khi_duaro_moveit_config,using the khi_duaro
pr2_ethercat_drivers,contains drivers
pr2_ethercat_drivers,"it: motor control boards, fingertip sensors, texture"
fingertip_pressure,provides access
fingertip_pressure,sensors. This information includes:
genmsg,generating ROS message
autoware_map_msgs,handle each class
autoware_external_msgs,contain an install external message dependencies
teleop_keyboard_omni3,wheeled omnidirectional robots.
ddynamic_reconfigure_python,contains a class
ddynamic_reconfigure_python,instantiate dynamic reconfigure servers
rqt_action,provides a feature
rqt_action,introspect all available ROS action (from actionlib) types.
rqt_action,"utilizing rqt_msg, the output format"
rqt_action,rqt_srv. Note
rqt_action,is the ones
std_msgs,including common message types
std_msgs,representing primitive data types
xmlrpcpp,is a C++ implementation
xmlrpcpp,support roscpp's threading model.
test_rosparam,containing the unit tests
test_rosbag_storage,containing the unit tests
test_rosbag,containing the unit tests
svenzva_simulation,running 3D simulations
svenzva_msgs,related messages.
svenzva_moveit,using the revel
svenzva_description,robot description files
roswtf,is a tool
roswtf,diagnosing issues
roswtf,running ROS system. Think
rostopic,contains the rostopic
rostopic,displaying debug information
rosservice,contains the rosservice
rosservice,querying ROS
rospy,is a pure Python client library
rospy,enables Python programmers
rosparam,contains the rosparam command-line tool
rosparam,setting ROS Parameters
rosnode,is a command-line tool
rosnode,displaying debug information
rosmsg,contains two command-line tools:
roslz4,streaming format. Large data streams
roslaunch,is a tool
roslaunch,launching multiple ROS
rosgraph,"contains the rosgraph command-line tool,"
rosgraph,prints information
rosgraph,provides an internal library
roscpp,is a C++ implementation
rosbag_storage,is a set
rosbag,is a set
rosbag,be high performance
ros_comm,including core client libraries
ros_comm,"(roscpp, rospy)"
ros_comm,"(rostopic, rosnode, rosservice, rosparam)."
message_filters,filter needs met.
sick_ldmrs_tools,use the sick_ldmrs
sick_ldmrs_description,contains an URDF description
sick_ldmrs_description,supporting mesh files.
qwt_dependency,encapsulates the Qwt dependency
rqt_graph,provides a GUI plugin
rqt_graph,visualizing the ROS computation graph.
turtlesim,is a tool
turtlesim,teaching ROS
rqt_launch,provides easy view
rqt_launch,end node
rospy_tutorials,show the features
rospy_tutorials,python API
rospy_tutorials,"including using messages, servers, parameters,"
roscpp_tutorials,show the features
roscpp_tutorials,"including using messages, servers, parameters, etc."
ros_tutorials,demonstrate various features
ros_tutorials,help demonstrate those features.
moveit_runtime,contains MoveIt! packages
moveit_runtime,running MoveIt!
moveit_planners_chomp,using CHOMP
moveit_chomp_optimizer_adapter,planning request adapter utilizing chomp
moveit,contains all essential package
moveit,was non-trivial. See
rosgraph_msgs,be low-level messages
rosgraph_msgs,end users
rosgraph_msgs,interact with.
rosconsole_bridge,is a package
rosconsole_bridge,connecting console_bridge-based logging
gl_dependency,encapsulates the GL dependency
rosdiagnostic,print aggregated diagnostic contents
diagnostic_updater,contains tools
diagnostic_updater,updating diagnostics.
diagnostic_updater,keep track
diagnostic_analysis,convert a log
diagnostic_analysis,using the scripts
jackal_msgs,representing low-level motor commands
jackal_description,robot description
dnn_detect,based detection
kobuki_ftdi,enabling Kobuki's USB connection.
kobuki_ftdi,contains tools
kobuki_ftdi,flashing the Kobuki's FTDI chip
kobuki_driver,use ROS
kobuki_dock_drive,driving library
kobuki_dock_drive,owning a docking station
kobuki_dock_drive,use this tool
kobuki_dock_drive,develop autonomous docking drive algorithms.
iirob_filters,package implements
iirob_filters,Moving Mean 3) Gravity Compensation
wit-imu-driver,is a ROS driver
wit-imu-driver,devices. Support device: JY901 WT901C
rr_openrover_stack,includes a client
rr_openrover_stack,filtering time stamped velocity commands
rr_openrover_driver,rr_openrover_driver include emergency stop
rr_openrover_driver,outputs diagnostic data
open_manipulator_with_tb3_waffle_pi_moveit,using the om_with_tb3
open_manipulator_with_tb3_waffle_moveit,using the om_with_tb3
open_manipulator_with_tb3_tools,"is deprecated. The tools package(including SLAM, Navigation, Manipulation)"
open_manipulator_with_tb3_description,is deprecated. OpenManipulator 3D model description
open_manipulator_with_tb3,is deprecated. ROS-enabled OpenManipulator
open_manipulator_with_tb3,is a full open robot platform consisting
open_manipulator_with_tb3,board)​. The OpenManipulator
open_manipulator_with_tb3,is allowed users
open_manipulator_with_tb3,has full hardware compatibility
open_manipulator_with_tb3,"have a real robot,"
open_manipulator_with_tb3,control the robot
ros_type_introspection,allows the user
ros_type_introspection,deserialize ROS messages
webots_ros,containing examples
webots_ros,interfacing ROS
sr_robot_launch,contains the launch file
sr_robot_commander,is a ROS interface
sr_multi_moveit_test,test the MoveIt Motion Planning Framework
sr_multi_moveit_config,using combinations
sr_multi_moveit_config,generate new config coherent
sr_multi_description,contains the description
sr_moveit_hand_config,using every shadow
sr_moveit_hand_config,generate new config coherent
sr_interface,contains the high level interface
sr_example,is an example
sr_example,Creating a package
sr_box_ur10_moveit_config,using the ur10
kdl_coupling,modified functions
jackal_bringup,installing Jackal's robot software.
hand_kinematics,including coupling.
test_bond,including tests
smclib,support that state machine.
smclib,contains the libraries
smclib,contain the compiler itself.
gundam_rx78_gazebo,contains launch scripts
gundam_rx78_gazebo,simulating the GUNDAM RX-78 robot
gundam_rx78_description,contains the ROS URDF file
gundam_robot,is a meta package
bond_core,"allows two processes,"
bond_core,crashing. The bond
bond,"allows two processes,"
bond,crashing. The bond
aruco_ros,provides real-time marker
aruco_ros,based 3D pose estimation using AR markers.
aruco,provides real-time marker
aruco,based 3D pose estimation using AR markers.
rosbag_pandas,Create a Pandas data frame
ridgeback_simulator,simulating Ridgeback.
ridgeback_gazebo_plugins,provide the ros_force_based_move plugin.
ridgeback_gazebo,use Ridgeback
mecanum_gazebo_plugin,uses directional friction
mecanum_gazebo_plugin,simulate mecanum wheels.
jackal_simulator,simulating Jackal.
jackal_gazebo,use Jackal
socketcan_interface,driver implementation. Further
canopen_motor_node,facilitates interface abstraction
canopen_402,implements the CANopen device profile
actionlib,provides a standardized interface
actionlib,moving the base
actionlib,performing a laser
actionlib,"returning the resulting point cloud,"
actionlib,detecting the handle
multipoint_navigation_receiver,is a function table
multipoint_navigation_receiver,"receives multipoint information,"
multipoint_navigation_receiver,controls the time
multipoint_navigation_receiver,sending the target point
multipoint_navigation_receiver,serves the Move_base
neo_local_planner,provides a spline
neo_local_planner,based implementation
warthog_simulator,simulating Warthog
warthog_gazebo,use Warthog
moose_simulator,simulating Moose
moose_gazebo,use Moose
pr2_mechanism_msgs,defines services
pr2_mechanism_msgs,defines messages
pr2_mechanism_msgs,represent the state
pr2_mechanism_msgs,"controllers, the joints"
oxford_gps_eth,(NCOM packet structure)
fetch_navigation,running ROS navigation
uos_common_urdf,contains URDF descriptions
tf_publisher_gui,is a simple GUI
tf_publisher_gui,publishing a single TF transform.
rotunit_snapshotter,assemble a point cloud
rotunit_snapshotter,rotating laserscanner.
acc_finder,contains two small tools
acc_finder,help configure the navigation
acc_finder,pipeline. The node min_max_finder.py
acc_finder,prints the minimum
acc_finder,prints the time
acc_finder,achieve maximum speed.
diffdrive_gazebo_plugin,provides Gazebo plugins
gps_goal,Set a ROS navigation goal using latitude
agile_grasp,finds antipodal grasps
sns_ik_lib,is a real-time Cartesian IK solver
sns_ik_lib,uses the redundancy
kdl_parser_py,defines a tree structure
kdl_parser,defines a tree structure
bebop_description,robot description
bebop_autonomy,is a ROS driver
handle_detector,detect handles.
arduino_daq,"firmware, a host standalone C++ library,"
optris_drivers,wrapping the binary driver
rgbdslam,is a SLAM solution
rgbdslam,provides the current pose
rgbdslam,create a registered point cloud
rgbdslam,features a GUI interface
rgbdslam,see the README file
turtlebot_teleop,using joysticks
turtlebot_description,provides a complete 3D model
turtlebot_description,visualization. The files
turtlebot_bringup,provides roslaunch scripts
turtlebot_bringup,starting the TurtleBot base functionality.
turtlebot,using a TurtleBot.
tf_conversions,contains a set
tf_conversions,convertcommon tf datatypes
tf_conversions,"(point, vector, pose, etc)"
tf_conversions,libraries. The conversion
tf_conversions,work withthe datatype
tf_conversions,has support forthe Kinematics
tf,is a package
tf,lets the user keep track
tf,maintains the relationship
tf,"lets the usertransform points, vectors, etc"
tf,desired point
realsense_camera,allowing access
realsense_camera,advanced modules
modelica_bridge,bridging ROS
rqt_rviz,provides a GUI plugin
tracetools,tracing libraries
rethink_ee_description,contains the URDF
rethink_ee_description,describing these end effectors.
baxter_sim_hardware,emulates few hardware interfaces
baxter_description,contains the URDF
baxter_description,describing Baxter.
baxter_common,describing the Baxter Research Robot
tra1_moveit_config,using the tra1
tra1_description,"contains the description (mechanical, kinematic, visual, etc.)"
tra1_description,robot. The files
tra1_bringup,contains bringup scripts/config/tools
minas_control,contains ros_control based robot controller
ethercat_manager,facilitating communication withEtherCAT
xiaoqiang_server,remote control server
xiaoqiang_monitor,monitor the status
xiaoqiang_freenect_launch,"produce rectified,"
xiaoqiang_freenect_launch,produce point clouds
xiaoqiang_freenect_launch,registered point clouds.
xiaoqiang_freenect_launch,add tilt angle control support
xiaoqiang_freenect_camera,is a port
xiaoqiang_freenect_camera,"uses libfreenect instead,"
xiaoqiang_freenect_camera,add tilt angle control support
xiaoqiang_freenect,add tilt angle control support
xiaoqiang_depth_image_proc,add occupancy xyz Contains nodelets
xiaoqiang_depth_image_proc,processing depth images
xiaoqiang_depth_image_proc,include creating disparity images
xiaoqiang_controller,use terminal
xiaoqiang_controller,move xiaoqiang
xiaoqiang_bringup,including launch files
pr2_msgs,"representing PR2 state,"
pr2_machine,contains the xxx.machine
pr2_machine,hosts a node
pr2_machine,is one machine file
pr2_description,"contains the description (mechanical, kinematic, visual, etc.)"
pr2_description,robot. The files
pr2_dashboard_aggregator,be interested in.
pr2_common,"simulate the PR2,"
hector_quadrotor_teleop,processing joy/Joy messages
hector_quadrotor_model,provides libraries
hector_quadrotor_interface,provides libraries
hector_quadrotor_gazebo_plugins,provides gazebo plugins
hector_quadrotor_gazebo_plugins,using quadrotors
hector_quadrotor_gazebo_plugins,simulates an altimeter
hector_quadrotor_gazebo_plugins,is a simple controller
hector_quadrotor_gazebo_plugins,command the quadrotor's velocity
hector_quadrotor_gazebo_plugins,using a geometry_msgs/Twist message
hector_quadrotor_gazebo_plugins,applying forces
hector_quadrotor_gazebo,provides a quadrotor model
hector_quadrotor_gazebo,be commanded using geometry_msgs/Twist messages.
hector_quadrotor_description,provides an URDF model
hector_quadrotor_controllers,provides controller plugins
hector_quadrotor_controller_gazebo,implements the ros_control RobotHWSim interface
hector_quadrotor_actions,provides action server implementations
hector_quadrotor,"modeling, control"
grizzly_simulator,allowing easy installation
grizzly_desktop,control Grizzly
laser_scan_splitter,resulting laser scans
laser_scan_splitter,"be assigned an arbitrary coordinate frame,"
laser_ortho_projector,calculates orthogonal projections
open_manipulator_perceptions,related perception packages
open_manipulator_ar_markers,find AR
open_manipulator_ar_markers,depends ar_track_alvar packages
marker_msgs,setup a marker/fiducial system.
marker_msgs,describe the properties
marker_msgs,represent a map
slam_constructor,provides implementation
slam_constructor,framework. The framework
slam_constructor,provides common SLAM components
slam_constructor,develop custom SLAM algorithms
roch_teleop,roch controller configurations
roch_follower,following the centroid
perception_pcl,is the preferred bridge
perception_pcl,involving n-D Point Clouds
pcl_ros,is the preferred bridge
pcl_ros,involving n-D Point Clouds
hls_lfcd_lds2_driver,is a sensor
hls_lfcd_lds2_driver,sending the data
hls_lfcd_lds2_driver,is developing the technology
hls_lfcd_lds2_driver,moving platform sensor
ecto,is a hybrid C++/Python development framework
ecto,maintaining pipelines.
thingmagic_usbpro,reader. The driver
thingmagic_usbpro,creates a node
thingmagic_usbpro,named /rfid_detector_node
thingmagic_usbpro,detected tags
thingmagic_usbpro,messages. The RFID_Detection messages
thingmagic_usbpro,epc: A string
thingmagic_usbpro,containing the RFID tag identifier
thingmagic_usbpro,detected antenna: 8-bit integer
thingmagic_usbpro,containing the antenna number
thingmagic_usbpro,read_count: 8-bit integer
thingmagic_usbpro,containing the number
thingmagic_usbpro,rssi: 8-bit integer
thingmagic_usbpro,containing the RSSI value
thingmagic_usbpro,Uses the python wrapper
thingmagic_usbpro,located here: https://github.com/gotthardp/python-mercuryapi
kobuki_qtestsuite,"provides a graphical, interactive testsuite"
kobuki_dashboard,is a RQT-based plug-in
kobuki_dashboard,visualising data
kobuki_dashboard,giving easy access
kobuki_dashboard,basic functionalities.
laser_pipeline,"processing laser data, including converting laser data"
multi_jackal_base,combines all components.
vs060_moveit_config,using the vs060A1_AV6_NNN_NNN
denso_launch,"contain generic .launch files,"
denso_launch,storing .launch files
cht10_node,getting data
thormang3_tools,(meta package)
thormang3_offset_tuner_client,adjust offset
thormang3_navigation,generating footsteps.
thormang3_navigation,has several config files
thormang3_navigation,use footstep planner package.
thormang3_foot_step_generator,provides foot step generation
thormang3_demo,"controlling a THORMANG3. Initial posture, walking,"
thormang3_action_script_player,provides a action script playing
thormang3_action_editor,is a action editor
robotis_op3_tools,(meta package)
op3_navigation,generating footsteps
op3_navigation,has several config files
op3_navigation,use footstep planner package.
op3_gui_demo,is a GUI software
op3_gui_demo,control ROBOTIS-OP3. Within
op3_gui_demo,"perform module settings,"
op3_gui_demo,"walking tuner, head joint control"
op3_demo,"includes three demontrations(soccer demo, vision demo, action script demo)"
op3_bringup,is a demo
op3_bringup,is an example
op3_bringup,visualize the robot.
op3_ball_detector,implements a circle-like shape detector
op3_ball_detector,"rate, a marked image"
op3_action_editor,make motion.
humanoid_planner_2d,provides a simple 2D path planner
wge100_driver,contains the ROS driver
wge100_camera,provide access
smach_ros,"call ROS services, listen"
smach_msgs,contains a set
smach,is a task-level architecture
smach,creating complex robot behavior.
smach,is a ROS-independent Python library
smach,build hierarchical state machines. SMACH
smach,is a new library
smach,takes advantage
smach,create robust robot behavior
odva_ethernetip,implementing ODVA EtherNet/IP (Industrial Protocol).
key_teleop,send a robot movement commands
joy_teleop,control a robot
viz,aggregate several packages.
simulators,aggregate several packages.
ros_core,aggregate the packages
