robotID,robotName,category,website,wiki,description,tags
108,Panther,ground,http://rnext.it/panther/,http://wiki.ros.org/Robots/Panther,"Panther is an outdoor tracked robot, with a ZED stereocamera and an NVIDIA Jetson TX2, this robot can interact with all objects around it.","diff-drive,ground,mobile robot,outdoor,research"
109,Pepper,ground,,http://wiki.ros.org/pepper,Pepper is a commercially available humanoid robot built by Aldebaran and Softbank Robotics.,"mobile manipulator,retail"
110,Physik Instrumente Precision Motion Systems,manipulator,https://www.physikinstrumente.com/en/,http://wiki.ros.org/Robots/PI_ROS_DRIVER,"High-Precision and Ultra-Precision Motion Systems for Industry, Research and Development. This package contains the ROS Driver for Hexapods from Physik Instrumente (PI).","hexapod,high-precision,industry,research"
111,Pioneer 3-AT,ground,http://www.mobilerobots.com/ResearchRobots/P3AT.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Medium-sized general purpose skid-steer mobile robot platform,"autonomous,diff-drive,ground,mobile base,mobile robot,research,skidsteer"
112,Pioneer 3-DX,ground,http://www.mobilerobots.com/ResearchRobots/PioneerP3DX.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Medium-sized general purpose differential drive mobile robot platform,"autonomous,diff-drive,ground,indoor,mobile base,mobile robot,research"
113,Pioneer LX,ground,http://www.mobilerobots.com/ResearchRobots/PioneerLX.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Industrial-quality general purpose differential drive mobile robot platform with integrated computer,"autonomous,diff-drive,ground,indoor,mobile base,mobile robot,research"
114,Pioneer LX Manipulator,ground,http://www.mobilerobots.com/ResearchRobots/PioneerManipulator.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Customizable mobile manipulator system built on Pioneer LX,"autonomous,diff-drive,ground,indoor,mobile base,mobile robot,research,mobile manipulator"
115,PowerBot,ground,http://www.mobilerobots.com/ResearchRobots/PowerBot.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Large general purpose differential drive mobile robot platform,"autonomous,diff-drive,ground,indoor,mobile base,mobile robot,research"
116,QTrobot,ground,http://www.luxai.com/,http://wiki.ros.org/Robots/qtrobot,"QTrobot, a toddler-like humanoid built by LuxAI S.A, is a socially engaging and interactive robot with a wide areas of application. QTrobot is currently being used for emotional training of children with autism, post-stroke rehabilitation and elderly cognitive and physical rehabilitation.","educational,expressive,humanoid,robot-for-autism,social,teaching robot"
117,Quori,ground,https://www.quori.org/,https://wiki.ros.org/Robots/Quori,"A novel, affordable, modular hardware and accompanying low-level software platform for enabling non-contact human-robot interaction research.","autonomous,computation,expressive,HRI,holonomic,humanoid,mobile,platform,research,social"
118,RB Kairos,ground,https://robotnik.eu/products/mobile-manipulators/rb-kairos/,,RB-KAIROS+ is presented as a solution for Universal Robots e-Series users,"autonomous,logistics,omni,research,robotnik"
119,RB Vulcano,ground,https://robotnik.eu/products/mobile-manipulators/rb-vulcano-en/,,Customizable mobile manipulator for carrying out industrial tasks,"autonomous,ground,mobile robot,research,robotnik"
120,RB-1,ground,http://www.robotnik.eu/manipulators/rb-one/,http://wiki.ros.org/Robots/RB-1,"RB-1 is an autonomous and configurable robot, focused on the field of research in indoor applications.","ground,indoor,mobile manipulator,research,robotnik"
121,RB-1 BASE,ground,http://www.robotnik.eu/mobile-robots/rb-1-base/,http://wiki.ros.org/Robots/RB-1_BASE,RB-1 BASE is a mobile platform designed for the research of robotic solutions and the development of applications.,"autonomous,diff-drive,indoor,mobile robot,research,elevator,logistics robot,robotnik"
122,RB-2 Base,ground,https://robotnik.eu/products/mobile-robots/rb-2-base-en/,,RB-2 Base is suitable for industrial applications in logistics,"autonomous,diff-drive,elevator,indoor,logistic robot,mobile robot,research,robotnik"
123,RBCAR,ground,http://www.robotnik.eu/mobile-robots/rbcar/,http://wiki.ros.org/Robots/RBCAR,The mobile platform RBCAR has RWD Ackerman kinematics. The traction is controlled by an AC motor with incremental encoder and the direction through a power steering system with absolute encoder.,"ackermann,ground,outdoor,mobile robot,robotnik,autonomous"
124,REEM,ground,http://pal-robotics.com/,http://wiki.ros.org/Robots/REEM,"REEM, the humanoid service robot created by PAL Robotics, can be used for several purposes. Thanks to its autonomous navigation system, its user-friendly touchscreen, and its voice and face recognition system, REEM can find its way in various surroundings and help or entertain people in most public environments.","humanoid,PAL Robotics"
125,REEM-C,ground,https://pal-robotics.com/robots/reem-c/,http://wiki.ros.org/Robots/REEM-C,"REEM-C is the latest commercial humanoid robot of PAL Robotics. REEM-C is an adult size humanoid (165 cm), and it has 44 degrees of freedom, two i7 computers, force/torque and range finders on each feet, stereo camera, 4 microphones, and other devices that make REEM-C one of the best equipped research platforms today.","humanoid,biped,walking,education,ground,indigo,kinetic,manipulator,melodic,platform,research,PAL Robotics"
126,RH-P12-RN,component,http://emanual.robotis.com/docs/en/platform/rh_p12_rn/,http://wiki.ros.org/rh_p12_rn,"The RH-P12-RN is 1-DOF two-finger hand. It supports DYNAMIXEL 2.0 protocol via DYNAMIXEL BUS. This hand designed for adaptive gripping, so you can use it for adaptive gripping for various shapes of objects. Also, it supports torque control and current-based position control make it possible to pick up objects of various materials.","kinetic,melodic,hand,gripper,education,research,platform,robotis,dynamixel"
127,ROBOTIS MANIPULATOR,manipulator,http://emanual.robotis.com/docs/en/platform/manipulator_h/introduction/,http://wiki.ros.org/manipulator_h,The ROBOTIS-MANIPULATOR is an affordable multi-purpose manipulator designed for research and automation.,"kinetic,melodic,arm,manipulator,education,research,platform,robotis,dynamixel"
128,ROBOTIS OP,ground,http://emanual.robotis.com/docs/en/platform/op3/introduction/,http://wiki.ros.org/robotis_op3,ROBOTIS OP3 is the latest miniature humanoid robot platform from ROBOTIS that succeeds ROBOTIS OP(aka “DARWIN OP”) and ROBOTIS OP2(aka “DARWIN 2” or “DARWIN OP2”).,"kinetic,melodic,ground,biped,humanoid,walking,education,research,platform,robotis,dynamixel"
129,ROSbot,ground,https://husarion.com/core2/tutorials/ros-tutorials/1-ros-introduction/,http://wiki.ros.org/Robots/ROSbot/,"Robot with LiDAR, designed to learn and develop ROS projects, with a dedicated tutorial available. Good base to add extensions - sensors, grippers, etc. thanks to many interfaces available on the rear panel.","autonomous,ground,lidar,mobile base,mobile robot,research,wheeled,wireless"
130,ROSbot 2.0,ground,https://husarion.com/#rosbot,http://wiki.ros.org/Robots/ROSbot-2.0,"ROSbot 2.0 is a successor of ROSbot - an autonomous, open source robot platform - now with a RGBD camera and improved design. It can be used as a learning platform for ROS as well as a base for a variety of robotic applications.","autonomous,education,ground,lidar,mobile base,research,wireless,ROS2"
131,ROSbot 2.0 PRO,ground,https://store.husarion.com/collections/dev-kits/products/rosbot-pro,http://wiki.ros.org/Robots/ROSbot-2.0-PRO,"ROSbot 2.0 is a successor of ROSbot - an autonomous, open source robot platform - now with a RGBD camera and improved design. It can be used as a learning platform for ROS as well as a base for a variety of robotic applications.","autonomous,education,ground,lidar,mobile base,research,wireless,ROS2"
132,Raspberry Pi Mouse,ground,https://www.rt-net.jp/products/raspimouse2?lang=en,http://wiki.ros.org/raspimouse_ros,This is a wheel-type robot equipped with a minimal computer Raspberry Pi for programming learning.,"diff-drive,education,ground,mobile,raspberry pi,research"
133,Reachy,ground,https://www.pollen-robotics.com/reachy/,http://wiki.ros.org/Robots/Reachy,Reachy is an expressive open-source humanoid platform programmable with Python and ROS. He is particularly good at interacting with people and manipulating objects.,"AI,education,humanoid,mobile,mobile base,navigation,pollen robotics,research,ros2,social,teleoperator,vr,open source"
134,Revel,manipulator,https://svenzva.com/revel,http://wiki.ros.org/Robots/Revel,"Revel is a low cost robotic manipulator intended for education, research, light automation & manufacturing.","arm,manipulator,moveit,research,retail"
135,RoboCar 1/10X,ground,https://www.zmp.co.jp/en/products/robocar/robocar-110x,http://wiki.ros.org/Robots/RoboCar110X,1/10 AD Development Platform,"ackermann,indoor,ground,melodic,mobile robot,navigation,robocar,RoboCar 1/10"
136,RoboSavvy-Balance,ground,,http://wiki.ros.org/Robots/RoboSavvy-Balance,"This platform provides researchers, engineers and hackers the ability to easily design their robotic application on top of a modular hardware interface.","balancing,wheeled"
137,Robonaut2,manipulator,http://robonaut.jsc.nasa.gov/R2/,http://wiki.ros.org/Robots/Robonaut2,"A Robonaut is a dexterous humanoid robot built and designed at NASA Johnson Space Center in Houston, Texas.","humanoid,space"
138,Robotino,ground,,http://wiki.ros.org/Robots/Robotino,"Robotino comes with sensors, actuators and software interfaces that you would expect from a modern state of the art mobile robot system.","ground,indoor,omniwheel"
139,Roch,ground,http://www.soyrobotics.com/,http://wiki.ros.org/Robots/Roch,"Roch is an intelligent, open source mobile robot platform.","ground,indigo,indoor,mobile base,research"
140,Romeo,ground,https://projetromeo.com/,http://wiki.ros.org/romeo,Romeo is a humanoid robot built by Aldebaran.,"humanoid,legged,research"
141,Roomba,ground,,http://wiki.ros.org/Robots/Roomba,The Roomba is an autonomous vacuum cleaner sold by iRobot.,"autonomous,diff-drive,indoor,retail,vacuum"
142,SRA Service Robot Arm,manipulator,http://www.cpr-robots.com/products/sra.html,http://wiki.ros.org/Robots/CPRServiceRobotArm,"The Commonplace Robotics SRA Service Robot Arm is a light robot arm for mobile applications, but provides a large reach and good payload.",arm
143,Schunk LWA 4P,manipulator,http://www.schunk-modular-robotics.com/en/home/products/powerball-lightweight-arm-lwa-4p.html,http://wiki.ros.org/schunk_description#LWA_4P,"The most compact, powerful lightweight arm in the world with three highly-integrated Powerball modules offers 6 degrees of freedom. Integrated intelligence makes powerful, mobile handling possible as never before.","arm,industrial,research"
144,Schunk SVH,component,https://de.schunk.com/de_en/gripping-systems/series/svh/,http://wiki.ros.org/schunk_svh_driver,"The anthropomorphic SCHUNK 5-finger hand grips nearly as perfectly as the human hand. Due to the moving parts with a total of nine drives, various gripping operations can be executed with high sensitivity. Elastic gripping surfaces ensure a reliable grip on objects.","hand,humanoid,industrial,manipulator,prosthetics"
145,Sciurus17,manipulator,https://www.rt-net.jp/products/sciurus17?lang=en,http://wiki.ros.org/sciurus17,Sciurus17 is a 17DoF upper-body humanoid robot with a 3D head camera and an RGB chest camera.,"arm,dynamixel,humanoid,kinetic,manipulator,melodic,moveit,research"
146,Seekur,ground,http://www.mobilerobots.com/ResearchRobots/Seekur.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Large outdoor general-purpose holonomic mobile robot platform,"autonomous,ground,outdoor,mobile base,mobile robot,research,holonomic"
147,Seekur Jr,ground,http://www.mobilerobots.com/ResearchRobots/SeekurJr.aspx,http://wiki.ros.org/Robots/AMR_Pioneer_Compatible,Large outdoor general-purpose skid-steer robot,"autonomous,diff-drive,ground,outdoor,mobile base,mobile robot,research,skidsteer"
148,Segway RMPv3,ground,http://stanleyinnovation.com/,http://wiki.ros.org/Robots/RMPv3,The Segway RMPv3 Platform Family,"ground,indigo"
149,Shadow Hand,component,http://www.shadowrobot.com/products/dexterous-hand/,http://wiki.ros.org/Robots/Shadow_Hand,The Shadow Dexterous Hand is a truly anthropomorphic approach to robot manipulation.,"manipulation,grasping,hand,research,industry,dexterity,20dof,anthropomorphic,AI,deep learning,machine learning,teleoperation,open-source,noetic,manipulator"
150,SliderSRA,ground,http://www.cpr-robots.com/products/slider150SRA.html,http://wiki.ros.org/Robots/CPRManipulationPlatform,The Commonplace Robotics SliderSRA is a light indoor manipulation platform.,"holonomic,indoor,mobile manipulator"
151,Spark,ground,,http://wiki.ros.org/Robots/Spark,"Spark is an affordable development platform for ROS applications, with mobility and vision system.","autonomous,mobile base"
152,Summit-XL,ground,http://www.robotnik.eu/mobile-robots/summit-xl/,http://wiki.ros.org/Robots/SummitXL,"SUMMIT XL is a high versatile, high mobility, indoor/outdoor mobile robot platform manufactured by Robotnik.","ground,research,mobile robot,robotnik,autonomous,diff-drive"
153,Summit-XL-Steel,ground,https://www.robotnik.eu/mobile-robots/summit-xl-steel/,http://wiki.ros.org/Robots/SummitXL,"SUMMIT-XL STEEL is a robotic platform for application development (logistics, indoor transport, etc.) manufactured by Robotnik.","autonomous,logistics,omni,research,robotnik"
154,TALOS,ground,http://pal-robotics.com/en/products/talos/,http://wiki.ros.org/Robots/TALOS/Tutorials,TALOS is a fully electrical humanoid robot that has sensored torque control in all its joints and uses EtherCAT bus protocol. It is ready to tackle complex industrial tasks with its 6 Kg payload with each arm.,"PAL Robotics,biped,legged,industrial,education,ground,humanoid,indigo,kinetic,manipulator,melodic,platform,research,torque-control,walking"
155,THORMANG,ground,http://emanual.robotis.com/docs/en/platform/thormang3/introduction/,http://wiki.ros.org/thormang3_mpc,"THOR (Tactical Hazardous Operations Robot) is an affordable, full size humanoid robot platform with advanced computational power, sophisticated sensors, high payload capacity, and dynamic motion abilities to enable many exciting researches and educational activities.","kinetic,melodic,ground,biped,humanoid,walking,education,research,platform,robotis,dynamixel"
156,TIAGo,ground,https://pal-robotics.com/robots/tiago/,http://wiki.ros.org/Robots/TIAGo,TIAGo is a service robot designed to work in indoor environments.,"humanoid,autonomous,7dof,computation,perception,moveit,mobile manipulator,education,ground,indigo,kinetic,manipulator,melodic,platform,research,wheeled,teaching robot,development kit,deep learning,diff-drive,PAL Robotics"
157,TIAGo Base,ground,https://pal-robotics.com/robots/tiago-base/,http://wiki.ros.org/Robots/TIAGo-base,"TIAGo Base is an indoor mobile robot designed with minimum footprint and maximum payload in mind. Its primary sensors are a laser range finder, an IMU and ultrasound sensors with a user panel to add new devices.","autonomous,diff-drive,ground,indoor,indigo,kinetic,melodic,industrial,logistics,logistics robot,research,mobile base,mobile robot,wheeled,PAL Robotics"
158,TIAGo OMNI Base,ground,https://pal-robotics.com/robots/tiago-base/,http://wiki.ros.org/Robots/TIAGo-OMNI-base,"Two LIDAR sensors for an unobstructed 360º FOV secure movement, including autonomous navigation, obstacle detection and path planning. Move and navigate the omnidirectional base with ease thanks to its precision positioning in constrained environments.","PAL Robotics,autonomous,ground,holonomic,indoor,industrial,logistics,logistics robot,mecanum,melodic,mobile base,mobile robot,omnidirectional,research,wheeled"
159,TIAGo++,ground,http://pal-robotics.com/robots/tiago/,http://wiki.ros.org/Robots/TIAGo%2B%2B,TIAGo++ is a bi-manual service robot designed to work in indoor environments.,"humanoid,autonomous,7dof,computation,perception,moveit,mobile manipulator,education,ground,kinetic,manipulator,bi-manual,melodic,platform,research,wheeled,teaching robot,development kit,deep learning,diff-drive,PAL Robotics"
160,TUlip,ground,http://www.techunited.nl/en/tulip/,http://wiki.ros.org/Robots/TUlip,TUlip is a humanoid robot developed in the Dynamics and Control group of the department of Mechanical Engineering at the Eindhoven University of Technology.,"humanoid,legged,research"
161,Tally,ground,http://www.simberobotics.com/,http://wiki.ros.org/Robots/Tally,Tally - Autonomous Shelf Auditing Robot,"diff-drive,retail,data capture,ground,indoor"
162,TurtleBot2,ground,http://www.turtlebot.com/,http://wiki.ros.org/Robots/TurtleBot,"TurtleBot is a low-cost, personal robot kit with open-source software","cturtle,fuerte,hydro,ground,indigo,indoor,mobile base"
163,TurtleBot3,ground,http://turtlebot3.robotis.com/,http://wiki.ros.org/turtlebot3,"The TurtleBot3 is a new generation mobile robot that is modular, compact and customizable.","indigo,jade,kinetic,lunar,melodic,ground,diff-drive,mobile base,mobile robot,mobile manipulator,indoor,wireless,education,research,platform,robotis,dynamixel"
164,TurtleBot4,ground,https://www.turtlebot.com/,http://wiki.ros.org/Robots/TurtleBot4,"TurtleBot 4 is the next-generation of the world’s most popular open source robotics platform for education and research, offering better computing power, better sensors and a world class user experience at an affordable price point.","diff-drive,education,galactic,ground,hydro,indoor,mobile base,research,rolling,ros2"
165,Turtlebot Euclid,ground,https://www.clearpathrobotics.com/turtlebot-euclid/,http://wiki.ros.org/Robots/Turtlebot-Euclid,Turtlebot Euclid is a mobile robot platform designed for learning and development.,"education,educational,ground,indoor,kinetic,mobile base,mobile robot,research,teaching robot,wireless"
166,Universal_robots,manipulator,https://www.universal-robots.com/,http://wiki.ros.org/universal_robot,"This repository is part of the ROS-Industrial program. It currently contains packages that provide nodes for communication with universal robot manipulators, URDF models for supported manipulators and associated MoveIt packages.","ROS-Industrial,UR,arm,industrial,manipulator,universal_robots"
167,VOLTA Robot,ground,https://www.botsync.co/volta,http://wiki.ros.org/Robots/Volta,"Botsync VOLTA is a flexible and configurable ground robot platform for a wide range of use-cases from learning ROS to developing advanced research projects. Use VOLTA robot as a plug-and-play solution for varying computational, payload and sensor requirements.","30kg payload,autonomous,diff-drive,education,kinetic,learning,melodic,mobile robot,navigation,unmanned ground vehicle,indoor,low cost"
168,WheeledRobin,ground,,http://wiki.ros.org/Robots/WheeledRobin,WheeledRobin WheeledRobin is a two wheeled robot that balances on his wheels and is able to receive commands via the serial interface from a host computer,"mobile robot,research,balancing"
169,X-Terrabot,ground,http://www.asimovrobotics.com/,http://wiki.ros.org/Robots/X-Terrabot,ASIMoV Robotics has launched a new series of multi-purpose mobile platforms useful for indoor and outdoor applications with unique omni-directional mobility and unmatched payload capabilities. X-Terrabot's software system is written entirely in ROS.,"ground,holonomic,indoor,mobile manipulator,outdoor,wheeled"
170,XSeries Robot Arm,manipulator,https://www.trossenrobotics.com/robotic-arms.aspx,http://wiki.ros.org/xseries_arms,"The Interbotix X-Series Robot arms offer many different configurations of length and payload with reach up to 750mm and working payload up to 750g. Additionally, they have between 4 and 6 degrees of freedom. Each of the arms comes assembled and tested out of the box.","6dof,arm,dynamixel,kinetic,manipulator,melodic,moveit,raspberry pi,research"
171,XSeries Robot Turret,manipulator,https://www.trossenrobotics.com/c/robot-turrets.aspx,http://wiki.ros.org/xseries_turrets,X-Series Robot Turrets are high resolution pan and tilt kits built around the high performance DYNAMIXEL X-Series smart servos from Robotis. The turrets are ideal for applications utilizing vision tracking or cameras.,"kinetic,computer vision,dynamixel,melodic,raspberry pi,research,tracking"
172,Xiaoqiang,ground,,http://wiki.ros.org/cn/xiaoqiang,Xiaoqiang is a three wheeled development platform for robot enthusiasts or developers.,"diff-drive,mobile base,research"
173,YZrobot-01B,ground,http://www.yzrobot.cn/en/ros-robot.html,http://wiki.ros.org/Robots/yzrobot,This YZ-01B is a ROS robot platform with 50Kg payload and with auto-charging dock,"50kg payload,auto charging dock,ground,indoor,kinetic,mobile robot,yzrobot"
174,YZrobot-01C,ground,http://www.yzrobot.cn/en/ros-robot.html,http://wiki.ros.org/Robots/yzrobot,"This YZ-01C is a business class ROS robot platform, you can easily develope business robot with it","50kg payload,auto charging dock,ground,indoor,navigation,mobile robot,yzrobot"
175,bveetaMini,ground,https://bzonemy101.wixsite.com/mysite,http://wiki.ros.org/Robots/bveetaMini,"Bveeta mini is an educational ROS mobile robot created by Bizbot Technology, Malaysia.","bizbot,bizbot technology,bveeta,bveeta mini,bveetamini,mobile robot"
176,gauss,manipulator,http://cn.robostore.me/goods-details/10780,http://wiki.ros.org/Robots/Gauss,A ROS based 6DoF 3D printed arm for robotics learning,"6dof,arm,kinetic,research"
177,mecharm-270,manipulator,https://www.elephantrobotics.com/en/mecharm-cn/,https://docs.elephantrobotics.com/docs/gitbook-en/12-ApplicationBaseROS/,The world's most compact 6DOF robotic arm,"6DOF,Robot,Robotics,RaspberryPi,Roboticarm,Maker,DIY,M5Stack"
178,myCobot,manipulator,https://www.elephantrobotics.com/en/mycobot-en/,http://wiki.ros.org/Robots/myCobot,The lightest and smallest six axis cooperative robot in the world,"arm,education,elephantrobotics,manipulator,research,mycobot"
179,nanosaur,ground,https://nanosaur.ai/,http://wiki.ros.org/Robots/nanosaur,The smallest NVIDIA Jetson dinosaur robot,"NVIDIA,Jetson,Isaac,foxy,diff-drive,education,indoor,ROS2,mobile robot,open-source,wireless,research,Jetson,computer vision"
180,r12,manipulator,http://strobotics.com/,http://wiki.ros.org/robots/r12,"The ST Robotics r12 is a low-cost 5 axis articulated robot arm suitable for a range of automation tasks. It is low cost, highly accurate, and fast.","arm,melodic,moveit,manipulator"
181,roshand-gen2,component,http://www.verma-robot.com/product/278091899,http://wiki.ros.org/Robots/roshand-gen2,"roshand gen2 is a low-cost and highly adaptive robotic hand, every fingertips have 14 tactile sensors, 28 tactile sensors in total.",hand
182,xArm,manipulator,https://www.ufactory.cc/,http://wiki.ros.org/xarm,"The xArm series is the most affordable and versatile robotic arm on the market. Crafted from carbon fiber and assembled using powerful harmonic joins, xArms prove that automation can be made reliable and easy.","5/6/7 dof,co-bot,manipulator,robotic arm,ufactory,xarm,xarm-robots,ros2"
183,xbot,ground,http://www.xbot.com/,http://wiki.ros.org/Robots/Xbot,Xbot is one of the best robot for beginners.,"teaching robot,xbot group,ISCAS,ground,indigo,indoor,mobile robot"
184,yz02,ground,http://www.yzrobot.cn/en/ros-robot.html,http://wiki.ros.org/Robots/yzrobot,"is 40Kg, payload is 100Kg. This platform is designed for outdoor application","100kg payload,Outdoor,YZ Robot,auto charging dock,ground,kinetic,mobile robot"
